segregant,batch,OD_covariate
A01_01-BYxRM_eQTL_10,10,0.2
A01_02-BYxRM_eQTL_11,11,0.255
A01_03-BYxRM_eQTL_11,11,0.328
A01_04-BYxRM_eQTL_03,3,0.128
A01_05-BYxRM_eQTL_11,11,0.288
A01_06-BYxRM_eQTL_12,12,0.207
A01_07-BYxRM_eQTL_07,7,0.184
A01_08-BYxRM_eQTL_05,5,0.193
A01_09-BYxRM_eQTL_12,12,0.16
A01_10-BYxRM_eQTL_06,6,0.16
A01_11-BYxRM_eQTL_13,13,0.306
A01_12-BYxRM_eQTL_11,11,0.316
A01_14-BYxRM_eQTL_06,6,0.216
A01_15-BYxRM_eQTL_02,2,0.219
A01_16-BYxRM_eQTL_01,1,0.271
A01_17-BYxRM_eQTL_12,12,0.279
A01_18-BYxRM_eQTL_13,13,0.208
A01_19-BYxRM_eQTL_02,2,0.182
A01_20-BYxRM_eQTL_01,1,0.354
A01_21-BYxRM_eQTL_09,9,0.26
A01_22-BYxRM_eQTL_09,9,0.267
A01_23-BYxRM_eQTL_03,3,0.169
A01_24-BYxRM_eQTL_07,7,0.21
A01_25-BYxRM_eQTL_12,12,0.177
A01_26-BYxRM_eQTL_13,13,0.165
A01_27-BYxRM_eQTL_10,10,0.25
A01_28-BYxRM_eQTL_10,10,0.234
A01_29-BYxRM_eQTL_08,8,0.303
A01_30-BYxRM_eQTL_10,10,0.209
A01_31-BYxRM_eQTL_03,3,0.157
A01_32-BYxRM_eQTL_05,5,0.189
A01_33-BYxRM_eQTL_11,11,0.378
A01_34-BYxRM_eQTL_10,10,0.372
A01_35-BYxRM_eQTL_05,5,0.232
A01_36-BYxRM_eQTL_02,2,0.193
A01_37-BYxRM_eQTL_06,6,0.186
A01_38-BYxRM_eQTL_03,3,0.217
A01_39-BYxRM_eQTL_04,4,0.256
A01_40-BYxRM_eQTL_06,6,0.189
A01_41-BYxRM_eQTL_12,12,0.354
A01_42-BYxRM_eQTL_02,2,0.15
A01_43-BYxRM_eQTL_04,4,0.219
A01_44-BYxRM_eQTL_05,5,0.191
A01_45-BYxRM_eQTL_04,4,0.406
A01_46-BYxRM_eQTL_03,3,0.161
A01_47-BYxRM_eQTL_13,13,0.217
A01_48-BYxRM_eQTL_06,6,0.142
A01_49-BYxRM_eQTL_02,2,0.122
A01_50-BYxRM_eQTL_08,8,0.242
A01_51-BYxRM_eQTL_11,11,0.311
A01_52-BYxRM_eQTL_03,3,0.205
A01_53-BYxRM_eQTL_02,2,0.176
A01_54-BYxRM_eQTL_13,13,0.251
A01_55-BYxRM_eQTL_02,2,0.167
A01_56-BYxRM_eQTL_04,4,0.298
A01_57-BYxRM_eQTL_03,3,0.168
A01_58-BYxRM_eQTL_11,11,0.303
A01_59-BYxRM_eQTL_07,7,0.172
A01_60-BYxRM_eQTL_13,13,0.259
A01_61-BYxRM_eQTL_09,9,0.168
A01_62-BYxRM_eQTL_03,3,0.211
A01_63-BYxRM_eQTL_07,7,0.145
A01_64-BYxRM_eQTL_09,9,0.194
A01_65-BYxRM_eQTL_13,13,0.461
A01_66-BYxRM_eQTL_03,3,0.224
A01_67-BYxRM_eQTL_09,9,0.233
A01_68-BYxRM_eQTL_05,5,0.118
A01_69-BYxRM_eQTL_09,9,0.239
A01_70-BYxRM_eQTL_05,5,0.151
A01_71-BYxRM_eQTL_11,11,0.28
A01_72-BYxRM_eQTL_06,6,0.205
A01_73-BYxRM_eQTL_10,10,0.309
